Country,Age,Diet,Transportation,Housing,Carbon_Footprint
Italy,69,Vegan,Car,Apartment,2.68
France,52,Vegetarian,Public Transit,Apartment,2.92
Italy,71,Meat-based,Public Transit,House,4.5
Italy,27,Vegan,Bicycle,Apartment,2.07
Italy,50,Vegan,Car,House,3.55
UK,48,Vegan,Car,House,3.16
Spain,21,Vegetarian,Car,Apartment,3.91
Germany,62,Vegan,Car,Apartment,4.45
Spain,37,Vegan,Car,Apartment,2.77
Italy,45,Vegan,Public Transit,House,3.05
Spain,22,Vegan,Bicycle,House,2.04
Germany,62,Vegan,Public Transit,Apartment,3.46
UK,73,Meat-based,Bicycle,House,3.82
Germany,54,Meat-based,Public Transit,House,6.63
Germany,31,Meat-based,Bicycle,Apartment,5.07
France,41,Vegan,Bicycle,Apartment,1.66
Germany,42,Vegetarian,Bicycle,Apartment,4.21
France,40,Vegetarian,Car,Apartment,2.82
UK,59,Vegetarian,Bicycle,House,3.37
Spain,33,Meat-based,Car,Apartment,4.48
Italy,62,Vegan,Car,House,3.41
France,67,Vegetarian,Bicycle,House,2.27
Spain,41,Meat-based,Car,Apartment,4.19
Spain,59,Vegan,Bicycle,Apartment,1.74
UK,54,Vegetarian,Public Transit,Apartment,3.77
Germany,42,Vegetarian,Bicycle,House,4.13
Germany,24,Vegetarian,Car,Apartment,5.43
France,43,Vegan,Bicycle,House,1.63
UK,52,Vegan,Bicycle,Apartment,2.18
Germany,79,Vegan,Car,Apartment,4.45
Germany,18,Vegan,Public Transit,House,3.84
Germany,54,Meat-based,Bicycle,Apartment,4.45
Italy,72,Meat-based,Car,Apartment,4.85
Italy,79,Vegan,Car,House,3.54
France,33,Vegetarian,Car,House,3.5
Spain,26,Vegan,Public Transit,House,2.76
Italy,56,Vegan,Bicycle,Apartment,2.11
France,33,Meat-based,Car,Apartment,3.66
Germany,79,Meat-based,Bicycle,Apartment,4.93
Italy,26,Vegan,Bicycle,House,2.07
Italy,34,Vegetarian,Bicycle,Apartment,2.66
France,78,Vegetarian,Bicycle,House,2.58
Germany,52,Meat-based,Car,House,8.45
Germany,63,Vegetarian,Bicycle,Apartment,3.81
Germany,38,Vegetarian,Public Transit,Apartment,5.45
Germany,22,Vegetarian,Car,Apartment,5.74
Spain,22,Vegetarian,Bicycle,Apartment,2.49
Italy,67,Vegetarian,Car,Apartment,3.7
France,42,Meat-based,Public Transit,Apartment,3.63
France,29,Vegan,Bicycle,House,1.81
Spain,24,Vegan,Public Transit,House,2.77
UK,24,Meat-based,Car,House,5.99
Spain,29,Vegetarian,Bicycle,House,2.83
Germany,34,Meat-based,Bicycle,Apartment,5.0
Germany,42,Vegan,Bicycle,House,2.94
Italy,63,Meat-based,Bicycle,House,3.92
Germany,46,Vegetarian,Public Transit,House,5.29
Spain,51,Vegan,Car,House,3.13
France,78,Vegetarian,Public Transit,House,3.26
France,22,Vegan,Car,Apartment,2.14
France,23,Vegan,Public Transit,House,2.43
France,79,Vegetarian,Bicycle,Apartment,2.13
UK,61,Vegan,Bicycle,Apartment,2.04
UK,30,Vegan,Car,House,3.43
Italy,33,Vegan,Bicycle,Apartment,2.08
Germany,61,Vegan,Car,Apartment,3.8
Germany,50,Vegetarian,Car,House,6.15
Germany,41,Meat-based,Public Transit,Apartment,6.64
France,36,Vegetarian,Public Transit,House,2.91
France,65,Vegan,Bicycle,House,1.68
Italy,77,Vegan,Bicycle,Apartment,2.21
UK,72,Vegetarian,Car,House,3.97
Spain,39,Vegetarian,Public Transit,Apartment,2.97
Germany,43,Vegetarian,Car,Apartment,5.46
Germany,23,Vegan,Bicycle,Apartment,2.85
Spain,18,Meat-based,Bicycle,House,3.36
Spain,41,Vegetarian,Public Transit,House,3.94
UK,69,Vegetarian,Car,House,4.54
Spain,28,Meat-based,Public Transit,House,4.12
Germany,25,Meat-based,Public Transit,Apartment,5.77
Spain,65,Vegetarian,Car,Apartment,3.78
Spain,79,Vegan,Public Transit,Apartment,2.43
UK,49,Vegan,Bicycle,Apartment,2.01
Spain,50,Vegan,Bicycle,House,1.98
France,68,Meat-based,Car,Apartment,3.7
France,67,Vegan,Car,Apartment,2.37
Italy,45,Vegan,Bicycle,Apartment,2.01
Italy,36,Vegetarian,Car,House,4.09
Germany,64,Vegan,Car,Apartment,3.97
France,73,Vegetarian,Bicycle,Apartment,2.21
Spain,30,Vegetarian,Bicycle,Apartment,2.66
UK,57,Meat-based,Car,Apartment,4.68
Germany,43,Meat-based,Public Transit,Apartment,6.76
Spain,19,Vegan,Car,Apartment,2.94
Spain,44,Vegan,Public Transit,Apartment,2.33
Spain,48,Meat-based,Bicycle,House,3.66
Italy,25,Vegetarian,Public Transit,House,4.22
Spain,33,Vegetarian,Car,Apartment,3.32
France,60,Vegan,Public Transit,Apartment,1.97
Italy,76,Vegan,Car,House,3.02
Spain,41,Vegetarian,Public Transit,Apartment,3.03
France,61,Vegan,Car,House,2.47
Italy,65,Vegan,Bicycle,House,2.14
Italy,31,Vegan,Public Transit,Apartment,2.82
Germany,58,Vegan,Bicycle,Apartment,2.64
Germany,30,Vegan,Public Transit,Apartment,3.42
UK,57,Vegetarian,Public Transit,House,4.35
Germany,52,Vegan,Car,Apartment,3.84
Spain,53,Vegan,Public Transit,House,2.96
Spain,58,Vegan,Car,House,2.78
Spain,51,Vegan,Car,Apartment,2.8
Germany,36,Meat-based,Bicycle,Apartment,5.13
Germany,65,Vegetarian,Public Transit,Apartment,4.65
UK,42,Vegan,Public Transit,House,3.03
Germany,29,Meat-based,Car,Apartment,7.05
France,74,Vegan,Public Transit,House,2.2
Germany,36,Vegan,Public Transit,Apartment,3.49
France,52,Meat-based,Public Transit,Apartment,3.53
Italy,77,Meat-based,Public Transit,Apartment,4.48
Germany,70,Meat-based,Bicycle,Apartment,4.36
Italy,58,Vegan,Public Transit,House,2.66
UK,34,Vegan,Car,House,3.56
Italy,38,Meat-based,Bicycle,Apartment,3.61
Germany,64,Vegetarian,Car,House,6.73
UK,60,Vegan,Car,House,3.59
Italy,73,Vegan,Bicycle,Apartment,2.16
Germany,38,Vegetarian,Car,House,5.73
Germany,64,Vegan,Public Transit,House,3.86
Spain,23,Vegetarian,Car,House,3.81
Germany,30,Vegan,Public Transit,Apartment,3.85
France,37,Meat-based,Car,House,4.4
Germany,22,Meat-based,Car,House,7.3
Spain,24,Vegan,Bicycle,Apartment,2.01
France,56,Meat-based,Public Transit,House,3.45
France,66,Vegan,Car,Apartment,2.17
France,35,Meat-based,Bicycle,Apartment,2.83
France,79,Meat-based,Bicycle,House,3.18
France,30,Meat-based,Public Transit,House,4.06
Italy,39,Vegetarian,Car,Apartment,3.53
Italy,58,Vegan,Car,Apartment,3.09
France,52,Vegetarian,Car,House,3.15
Germany,19,Meat-based,Public Transit,House,6.43
Italy,32,Vegan,Public Transit,Apartment,2.61
France,32,Meat-based,Public Transit,House,3.49
Italy,25,Vegetarian,Car,Apartment,3.95
Germany,45,Vegan,Public Transit,Apartment,3.87
Germany,75,Vegan,Bicycle,House,3.31
Italy,40,Meat-based,Public Transit,House,5.0
Italy,69,Vegan,Car,Apartment,3.12
Germany,67,Vegan,Car,House,4.29
Spain,64,Vegetarian,Car,Apartment,3.71
Italy,27,Meat-based,Public Transit,Apartment,4.08
Spain,40,Vegetarian,Public Transit,House,3.64
Spain,56,Vegan,Public Transit,Apartment,2.62
Germany,42,Vegetarian,Bicycle,House,4.34
Spain,52,Vegan,Car,House,2.79
Spain,51,Vegan,Bicycle,Apartment,2.0
Germany,41,Meat-based,Car,Apartment,6.73
Spain,79,Meat-based,Car,Apartment,4.95
Italy,72,Meat-based,Public Transit,House,4.5
UK,80,Vegetarian,Car,Apartment,4.22
France,65,Meat-based,Car,Apartment,3.72
France,62,Vegetarian,Public Transit,Apartment,2.86
UK,22,Vegetarian,Bicycle,Apartment,2.51
Italy,27,Meat-based,Car,Apartment,4.37
Spain,27,Meat-based,Public Transit,Apartment,4.32
Italy,48,Vegetarian,Bicycle,House,2.98
France,36,Meat-based,Car,Apartment,4.11
France,56,Meat-based,Bicycle,Apartment,2.41
Spain,61,Vegetarian,Bicycle,House,3.08
UK,37,Vegan,Car,House,3.58
Italy,80,Meat-based,Bicycle,House,4.13
Germany,65,Meat-based,Public Transit,Apartment,5.88
Germany,70,Vegan,Bicycle,Apartment,3.09
Spain,48,Vegetarian,Bicycle,House,3.03
Germany,21,Vegetarian,Bicycle,House,4.04
France,24,Meat-based,Public Transit,House,3.46
Italy,28,Vegan,Car,Apartment,2.74
France,66,Vegetarian,Car,Apartment,3.14
France,33,Vegetarian,Car,Apartment,3.09
Spain,20,Meat-based,Public Transit,Apartment,4.48
France,80,Vegetarian,Public Transit,House,3.05
Italy,66,Vegetarian,Bicycle,House,3.3
France,39,Vegetarian,Bicycle,Apartment,2.14
Germany,19,Vegan,Public Transit,House,4.22
France,36,Meat-based,Car,House,3.88
France,78,Vegan,Car,Apartment,2.43
Germany,67,Vegan,Car,House,4.57
Germany,39,Vegetarian,Public Transit,House,5.03
Spain,33,Meat-based,Bicycle,Apartment,3.49
UK,58,Vegetarian,Car,Apartment,3.68
Italy,53,Meat-based,Public Transit,Apartment,4.32
Germany,77,Vegetarian,Car,Apartment,5.29
Italy,40,Meat-based,Car,Apartment,5.05
Spain,34,Vegetarian,Public Transit,House,3.77
Germany,78,Meat-based,Bicycle,House,4.89
Italy,43,Vegetarian,Bicycle,Apartment,2.68
UK,72,Vegan,Public Transit,House,2.72
Spain,50,Vegetarian,Public Transit,Apartment,3.37
France,65,Meat-based,Bicycle,Apartment,2.49
France,36,Vegetarian,Car,House,3.63
Germany,42,Vegetarian,Bicycle,Apartment,3.76
Spain,59,Vegan,Public Transit,Apartment,2.26
France,76,Vegetarian,Public Transit,Apartment,2.69
France,38,Vegetarian,Bicycle,House,2.24
Spain,25,Vegetarian,Public Transit,Apartment,3.32
Spain,27,Vegan,Car,House,3.09
UK,67,Vegetarian,Car,House,4.65
Spain,31,Meat-based,Car,Apartment,4.99
Spain,35,Vegetarian,Bicycle,Apartment,2.35
France,35,Vegetarian,Car,House,3.65
Spain,73,Vegetarian,Bicycle,Apartment,2.65
Italy,29,Meat-based,Car,House,5.21
Italy,28,Meat-based,Public Transit,House,4.82
UK,62,Meat-based,Bicycle,House,3.74
UK,42,Meat-based,Bicycle,Apartment,3.17
UK,57,Meat-based,Public Transit,House,4.47
Spain,77,Meat-based,Public Transit,House,4.22
Spain,34,Vegan,Bicycle,Apartment,2.11
Germany,58,Vegetarian,Bicycle,Apartment,3.52
Germany,44,Vegan,Bicycle,Apartment,2.97
Germany,40,Meat-based,Car,Apartment,6.74
Italy,19,Vegetarian,Public Transit,Apartment,3.63
Spain,44,Vegetarian,Public Transit,House,3.9
Spain,51,Vegetarian,Car,Apartment,3.63
Italy,29,Vegan,Bicycle,Apartment,2.05
Spain,36,Vegan,Bicycle,House,2.19
UK,78,Meat-based,Car,Apartment,4.54
France,57,Vegetarian,Car,House,3.56
UK,77,Vegan,Car,House,3.3
France,60,Vegetarian,Public Transit,Apartment,2.6
Spain,53,Vegetarian,Car,Apartment,3.92
France,40,Vegetarian,Public Transit,House,2.75
Italy,68,Meat-based,Bicycle,House,3.59
Italy,37,Vegetarian,Bicycle,Apartment,2.44
Spain,20,Meat-based,Car,Apartment,4.84
UK,70,Vegan,Bicycle,House,2.23
UK,45,Meat-based,Bicycle,House,3.61
Spain,71,Meat-based,Bicycle,House,3.29
Spain,80,Vegan,Car,House,3.29
UK,28,Vegetarian,Car,Apartment,4.13
Germany,50,Meat-based,Bicycle,House,5.75
Italy,71,Vegan,Car,House,3.04
France,19,Vegetarian,Car,Apartment,2.76
UK,76,Meat-based,Bicycle,House,3.48
Germany,80,Vegetarian,Bicycle,House,4.04
Germany,37,Meat-based,Bicycle,Apartment,5.06
Spain,67,Vegetarian,Bicycle,Apartment,2.45
Germany,58,Meat-based,Bicycle,Apartment,4.47
UK,25,Meat-based,Car,House,5.24
Germany,23,Meat-based,Public Transit,House,7.49
Germany,43,Meat-based,Public Transit,Apartment,6.12
Spain,79,Vegan,Car,Apartment,2.85
Spain,74,Vegetarian,Bicycle,House,3.02
Germany,37,Meat-based,Car,Apartment,6.39
Italy,40,Vegetarian,Bicycle,Apartment,2.53
Italy,77,Meat-based,Car,Apartment,4.88
UK,50,Meat-based,Car,House,5.08
Germany,19,Vegetarian,Car,Apartment,5.08
Germany,35,Vegetarian,Public Transit,Apartment,5.43
Italy,63,Vegan,Bicycle,House,2.24
Spain,45,Vegan,Public Transit,Apartment,2.35
Germany,61,Vegan,Public Transit,House,3.82
UK,37,Meat-based,Car,House,5.43
Spain,45,Vegan,Bicycle,House,2.27
UK,24,Vegan,Public Transit,House,2.79
Italy,41,Vegan,Car,House,3.01
France,79,Vegan,Public Transit,House,2.2
UK,40,Vegetarian,Car,Apartment,3.71
Italy,45,Meat-based,Public Transit,Apartment,3.99
Italy,41,Meat-based,Public Transit,Apartment,3.93
France,63,Vegetarian,Car,House,3.44
Italy,75,Meat-based,Bicycle,Apartment,3.31
UK,31,Vegan,Car,Apartment,3.01
UK,78,Vegan,Car,House,3.42
Spain,38,Vegetarian,Car,Apartment,3.33
Spain,49,Meat-based,Public Transit,House,4.22
Spain,28,Vegan,Public Transit,House,2.6
France,36,Meat-based,Bicycle,Apartment,2.89
Italy,26,Vegetarian,Car,Apartment,3.75
France,22,Vegetarian,Car,House,3.54
Italy,38,Vegetarian,Public Transit,Apartment,3.53
Italy,49,Vegan,Car,House,3.1
Spain,49,Vegan,Car,House,3.31
France,19,Meat-based,Car,Apartment,3.54
Italy,73,Vegan,Bicycle,House,2.14
France,30,Vegan,Public Transit,Apartment,2.24
France,34,Meat-based,Car,Apartment,4.16
France,34,Vegetarian,Bicycle,House,2.27
Germany,77,Meat-based,Bicycle,House,4.97
Italy,73,Meat-based,Bicycle,House,3.87
France,51,Vegan,Car,House,2.63
Italy,38,Vegan,Public Transit,Apartment,2.4
Italy,63,Meat-based,Public Transit,Apartment,4.5
Germany,62,Meat-based,Car,House,7.01
France,60,Meat-based,Public Transit,House,3.58
France,39,Meat-based,Bicycle,House,3.12
Italy,63,Vegetarian,Bicycle,Apartment,2.9
France,76,Meat-based,Car,House,4.14
Spain,73,Vegan,Bicycle,Apartment,2.03
Germany,22,Vegetarian,Public Transit,Apartment,5.17
UK,59,Meat-based,Car,House,5.91
France,33,Meat-based,Public Transit,Apartment,3.27
Spain,60,Vegan,Public Transit,House,2.61
UK,23,Vegetarian,Public Transit,Apartment,3.31
UK,45,Vegan,Public Transit,Apartment,2.64
Italy,24,Meat-based,Bicycle,House,3.94
Spain,30,Vegetarian,Car,House,3.8
Italy,51,Vegan,Public Transit,House,2.68
France,59,Meat-based,Car,Apartment,3.52
France,54,Vegetarian,Car,Apartment,3.07
Italy,32,Vegan,Bicycle,House,2.21
France,32,Vegan,Bicycle,House,1.78
Germany,68,Meat-based,Public Transit,House,7.21
Italy,64,Meat-based,Car,Apartment,4.85
UK,48,Vegan,Public Transit,Apartment,2.5
France,28,Meat-based,Public Transit,House,3.54
France,60,Vegetarian,Public Transit,House,2.76
Italy,74,Meat-based,Car,Apartment,4.93
Spain,55,Meat-based,Public Transit,Apartment,4.09
France,70,Meat-based,Bicycle,House,3.17
UK,50,Meat-based,Car,Apartment,4.55
Italy,46,Vegetarian,Bicycle,House,3.31
Italy,60,Vegetarian,Public Transit,House,3.84
Italy,37,Vegan,Public Transit,House,2.68
UK,64,Vegan,Car,Apartment,3.25
Germany,60,Meat-based,Public Transit,House,6.27
UK,65,Vegan,Public Transit,House,2.8
France,30,Vegetarian,Bicycle,Apartment,2.34
UK,75,Vegetarian,Bicycle,Apartment,2.64
Italy,74,Vegetarian,Public Transit,House,4.22
Italy,37,Meat-based,Car,House,5.74
France,45,Vegetarian,Bicycle,House,2.27
France,49,Vegan,Car,House,2.64
UK,79,Vegetarian,Bicycle,Apartment,2.66
Italy,22,Vegetarian,Car,House,3.91
Italy,70,Vegan,Car,Apartment,2.9
France,45,Vegetarian,Bicycle,Apartment,1.94
Germany,40,Vegetarian,Bicycle,Apartment,4.23
Italy,27,Vegan,Car,House,3.28
France,36,Meat-based,Car,House,4.61
Germany,69,Vegan,Bicycle,House,3.18
France,75,Vegetarian,Public Transit,House,2.85
Spain,61,Vegetarian,Bicycle,Apartment,2.65
Germany,34,Meat-based,Public Transit,Apartment,5.98
France,37,Vegan,Bicycle,House,1.8
Spain,68,Vegetarian,Car,Apartment,3.68
Italy,50,Vegan,Bicycle,House,2.25
Spain,47,Vegetarian,Public Transit,House,3.31
UK,19,Vegetarian,Car,Apartment,4.05
Italy,68,Meat-based,Bicycle,House,3.49
UK,75,Vegan,Public Transit,Apartment,2.81
Spain,26,Vegetarian,Bicycle,Apartment,2.54
UK,47,Meat-based,Car,Apartment,4.72
France,39,Vegan,Car,House,2.58
Italy,73,Meat-based,Car,Apartment,5.04
UK,27,Vegan,Bicycle,House,2.14
Germany,37,Vegan,Public Transit,Apartment,3.97
UK,62,Meat-based,Car,Apartment,4.46
UK,74,Meat-based,Bicycle,Apartment,3.29
France,48,Meat-based,Bicycle,House,2.9
France,37,Vegetarian,Public Transit,Apartment,2.92
UK,34,Vegan,Bicycle,House,2.48
UK,25,Vegetarian,Car,Apartment,3.71
Germany,28,Vegan,Bicycle,Apartment,2.89
Italy,36,Vegan,Car,House,3.14
Italy,43,Vegetarian,Bicycle,Apartment,2.69
Spain,27,Meat-based,Public Transit,House,4.22
Spain,18,Vegan,Public Transit,Apartment,2.54
UK,46,Meat-based,Public Transit,Apartment,4.43
Spain,35,Meat-based,Car,House,5.08
UK,31,Vegetarian,Bicycle,House,3.09
Germany,59,Meat-based,Public Transit,House,6.86
Germany,35,Vegan,Public Transit,House,3.79
Spain,42,Vegetarian,Bicycle,Apartment,2.6
UK,67,Vegan,Bicycle,House,2.14
Italy,55,Vegan,Public Transit,House,2.65
France,72,Vegan,Car,Apartment,2.1
France,49,Vegan,Public Transit,House,2.41
Germany,24,Meat-based,Bicycle,House,5.66
Spain,77,Meat-based,Car,House,4.69
France,46,Vegetarian,Bicycle,Apartment,2.32
Italy,24,Vegan,Public Transit,House,2.69
UK,53,Meat-based,Car,House,5.49
Italy,32,Meat-based,Bicycle,Apartment,3.34
UK,69,Meat-based,Car,Apartment,5.08
France,31,Meat-based,Car,Apartment,3.71
Spain,54,Vegan,Car,House,2.86
UK,49,Meat-based,Car,House,5.5
Italy,57,Vegan,Car,Apartment,2.87
Spain,73,Meat-based,Bicycle,Apartment,2.96
UK,37,Meat-based,Car,House,5.2
UK,52,Vegetarian,Car,Apartment,4.21
Italy,77,Vegetarian,Public Transit,House,3.54
Germany,79,Vegetarian,Car,Apartment,5.93
UK,50,Vegetarian,Public Transit,Apartment,3.6
France,55,Vegetarian,Public Transit,Apartment,2.49
Spain,34,Meat-based,Public Transit,Apartment,3.82
UK,70,Vegan,Public Transit,Apartment,2.53
France,69,Vegan,Bicycle,Apartment,1.55
France,78,Vegetarian,Bicycle,Apartment,2.3
Spain,78,Meat-based,Public Transit,Apartment,3.79
Spain,50,Meat-based,Bicycle,House,3.51
Italy,68,Meat-based,Car,Apartment,4.38
Germany,52,Vegan,Public Transit,Apartment,3.78
France,42,Vegetarian,Bicycle,Apartment,2.11
Spain,53,Meat-based,Car,House,4.69
UK,80,Vegetarian,Public Transit,Apartment,3.45
France,33,Meat-based,Car,Apartment,3.61
UK,54,Meat-based,Car,Apartment,5.26
France,21,Meat-based,Public Transit,Apartment,3.29
Italy,40,Vegan,Bicycle,Apartment,2.24
Germany,56,Vegetarian,Public Transit,Apartment,5.14
France,34,Vegan,Car,House,2.65
Italy,75,Meat-based,Public Transit,House,5.27
UK,36,Vegan,Car,House,3.18
UK,50,Meat-based,Car,House,5.94
UK,49,Vegetarian,Car,Apartment,4.29
UK,32,Vegetarian,Bicycle,Apartment,2.56
Germany,20,Meat-based,Bicycle,House,5.54
Spain,78,Meat-based,Car,House,5.42
Italy,35,Vegan,Public Transit,House,3.1
France,21,Vegetarian,Bicycle,House,2.37
Spain,42,Vegetarian,Car,Apartment,3.44
Germany,60,Vegetarian,Bicycle,Apartment,4.0
France,52,Vegetarian,Car,House,3.68
Italy,69,Vegan,Car,Apartment,2.81
UK,45,Vegetarian,Bicycle,Apartment,2.94
UK,42,Vegan,Bicycle,House,2.48
UK,47,Vegetarian,Bicycle,House,2.87
Spain,47,Vegan,Car,Apartment,2.97
Italy,69,Vegan,Public Transit,Apartment,2.88
UK,36,Vegetarian,Bicycle,House,2.8
Italy,41,Vegetarian,Bicycle,House,3.18
UK,18,Meat-based,Public Transit,House,5.28
Germany,46,Vegetarian,Car,House,5.55
France,79,Vegetarian,Public Transit,Apartment,2.7
UK,78,Meat-based,Public Transit,House,5.4
Spain,29,Vegetarian,Public Transit,House,3.93
Germany,32,Vegan,Car,Apartment,4.46
France,32,Meat-based,Bicycle,Apartment,2.5
UK,73,Vegetarian,Bicycle,House,2.8
Germany,21,Vegan,Public Transit,House,3.75
Italy,52,Vegan,Car,Apartment,2.82
France,50,Vegetarian,Car,Apartment,2.89
Italy,54,Vegetarian,Bicycle,House,2.75
Spain,74,Vegetarian,Car,Apartment,3.53
Italy,39,Vegetarian,Bicycle,House,3.0
Italy,57,Meat-based,Car,House,4.89
Germany,76,Vegan,Car,Apartment,4.24
Italy,50,Vegan,Bicycle,House,2.46
Spain,71,Vegan,Car,Apartment,2.68
France,79,Meat-based,Car,House,4.27
France,72,Vegan,Car,House,2.62
UK,46,Vegetarian,Public Transit,Apartment,3.8
Italy,76,Meat-based,Public Transit,Apartment,4.62
Italy,32,Vegetarian,Public Transit,Apartment,3.62
Spain,64,Vegetarian,Public Transit,Apartment,3.19
UK,22,Vegetarian,Bicycle,House,3.14
Spain,68,Vegetarian,Car,Apartment,3.97
Germany,67,Vegetarian,Bicycle,Apartment,3.96
Italy,39,Vegetarian,Car,Apartment,3.8
UK,80,Meat-based,Bicycle,House,3.95
Germany,75,Meat-based,Public Transit,Apartment,5.81
Spain,34,Vegan,Bicycle,House,2.24
Germany,73,Meat-based,Public Transit,Apartment,6.47
France,26,Vegan,Bicycle,House,1.92
Italy,26,Vegetarian,Bicycle,Apartment,2.83
France,39,Vegetarian,Bicycle,Apartment,2.35
France,22,Vegan,Public Transit,House,2.48
Spain,65,Vegetarian,Public Transit,House,3.8
Germany,64,Vegan,Bicycle,Apartment,2.7
France,55,Vegan,Public Transit,House,2.23
Spain,29,Vegan,Bicycle,House,2.32
France,32,Vegetarian,Public Transit,House,2.78
UK,75,Vegan,Bicycle,House,2.21
Spain,38,Meat-based,Car,Apartment,4.86
Germany,45,Vegan,Public Transit,House,3.82
Italy,28,Meat-based,Public Transit,House,4.83
Germany,74,Meat-based,Public Transit,House,7.6
France,77,Meat-based,Bicycle,House,2.75
Germany,53,Vegan,Car,Apartment,4.23
France,79,Vegan,Bicycle,Apartment,1.44
France,41,Meat-based,Public Transit,House,3.99
UK,26,Vegetarian,Public Transit,Apartment,3.72
France,46,Vegetarian,Public Transit,House,2.8
Germany,35,Vegan,Bicycle,Apartment,3.18
France,65,Meat-based,Bicycle,Apartment,2.58
UK,39,Vegetarian,Public Transit,Apartment,3.71
Italy,75,Meat-based,Public Transit,Apartment,4.73
UK,38,Meat-based,Bicycle,Apartment,3.78
France,33,Meat-based,Bicycle,House,3.19
Germany,61,Meat-based,Public Transit,House,6.44
Germany,64,Vegetarian,Public Transit,Apartment,4.68
France,78,Vegan,Bicycle,Apartment,1.44
France,49,Vegan,Bicycle,Apartment,1.67
France,44,Vegan,Public Transit,House,2.35
Germany,58,Vegetarian,Public Transit,Apartment,5.36
Germany,74,Vegetarian,Bicycle,House,4.3
Spain,56,Vegetarian,Bicycle,House,2.73
Germany,25,Vegetarian,Public Transit,House,5.34
Spain,25,Meat-based,Public Transit,House,4.72
Italy,62,Vegetarian,Bicycle,Apartment,2.86
Spain,71,Vegetarian,Bicycle,House,2.95
France,36,Vegetarian,Bicycle,Apartment,2.3
Spain,21,Vegan,Public Transit,House,2.84
Spain,43,Vegetarian,Public Transit,House,3.48
France,35,Vegetarian,Bicycle,Apartment,2.07
France,37,Vegetarian,Public Transit,Apartment,2.79
Germany,52,Meat-based,Bicycle,Apartment,5.28
UK,57,Vegetarian,Car,Apartment,4.32
France,69,Vegetarian,Car,House,3.67
UK,22,Vegan,Car,Apartment,2.89
Germany,28,Vegan,Public Transit,Apartment,3.58
Germany,76,Vegetarian,Public Transit,House,5.22
Germany,78,Meat-based,Car,Apartment,7.27
UK,24,Vegan,Public Transit,House,2.7
Italy,37,Meat-based,Car,Apartment,4.39
France,70,Vegetarian,Bicycle,House,2.2
Italy,73,Meat-based,Car,Apartment,4.85
Spain,19,Meat-based,Bicycle,Apartment,2.94
UK,68,Vegetarian,Car,House,4.65
Spain,50,Vegan,Car,House,2.91
Germany,24,Vegetarian,Bicycle,House,4.2
Spain,23,Meat-based,Public Transit,House,4.56
UK,50,Meat-based,Public Transit,Apartment,4.89
Spain,78,Vegetarian,Bicycle,Apartment,2.54
UK,80,Meat-based,Public Transit,Apartment,4.41
Spain,54,Meat-based,Bicycle,House,3.44
France,24,Vegan,Car,Apartment,2.46
Spain,55,Meat-based,Car,Apartment,4.48
Spain,51,Vegan,Bicycle,Apartment,1.75
Spain,34,Vegetarian,Public Transit,House,3.9
France,38,Vegan,Bicycle,House,1.91
Italy,62,Meat-based,Bicycle,House,3.8
Italy,79,Vegan,Car,House,3.2
Spain,50,Vegan,Bicycle,Apartment,2.08
Spain,62,Meat-based,Public Transit,Apartment,4.33
Germany,51,Vegan,Car,Apartment,3.9
France,20,Vegetarian,Public Transit,Apartment,2.82
UK,49,Meat-based,Bicycle,House,3.77
Italy,25,Vegetarian,Public Transit,House,3.89
UK,74,Vegetarian,Bicycle,Apartment,2.57
UK,61,Meat-based,Bicycle,House,3.86
Italy,48,Vegetarian,Car,House,4.67
Germany,28,Vegan,Bicycle,House,2.91
Spain,29,Meat-based,Public Transit,Apartment,4.52
France,37,Vegan,Car,Apartment,2.38
UK,47,Vegetarian,Car,Apartment,4.06
UK,28,Meat-based,Public Transit,Apartment,4.32
France,77,Meat-based,Public Transit,House,4.06
Spain,55,Vegan,Public Transit,House,2.81
Spain,77,Vegetarian,Bicycle,Apartment,2.34
Germany,24,Vegan,Car,House,4.32
UK,24,Meat-based,Bicycle,House,3.72
UK,56,Vegetarian,Bicycle,House,2.9
France,68,Meat-based,Car,Apartment,4.14
UK,27,Meat-based,Car,House,5.91
Italy,22,Meat-based,Car,House,5.3
Spain,38,Vegetarian,Bicycle,Apartment,2.43
Spain,42,Vegetarian,Bicycle,House,2.76
UK,38,Vegan,Car,Apartment,3.24
Italy,63,Meat-based,Public Transit,House,4.83
Italy,61,Meat-based,Bicycle,House,3.88
Germany,19,Vegetarian,Public Transit,House,5.79
Germany,57,Vegan,Car,House,4.5
France,30,Vegetarian,Public Transit,Apartment,2.48
Italy,39,Meat-based,Public Transit,House,4.84
France,56,Vegetarian,Car,House,3.49
Spain,20,Vegan,Bicycle,House,2.04
France,80,Vegan,Car,House,2.8
Spain,49,Meat-based,Public Transit,Apartment,3.73
France,57,Vegan,Car,Apartment,2.46
Germany,23,Vegetarian,Car,Apartment,5.47
France,38,Meat-based,Bicycle,House,3.25
Germany,59,Vegan,Bicycle,Apartment,2.81
Italy,75,Vegan,Car,House,3.24
Spain,44,Vegan,Bicycle,Apartment,1.75
UK,27,Vegan,Public Transit,Apartment,2.5
France,35,Vegan,Car,House,2.38
France,37,Vegetarian,Bicycle,House,2.19
Spain,54,Vegan,Car,House,2.8
France,29,Vegan,Car,Apartment,2.21
France,67,Meat-based,Car,Apartment,3.92
Spain,23,Vegan,Car,House,3.25
